dataset,weights,type,noise_level,acc
CBF,MrSEQL-SM,1,0,0.9989
CBF,MrSEQL-SM,1,10,0.9989
CBF,MrSEQL-SM,1,20,1.0
CBF,MrSEQL-SM,1,30,1.0
CBF,MrSEQL-SM,1,40,0.9989
CBF,MrSEQL-SM,1,50,0.9989
CBF,MrSEQL-SM,1,60,0.9989
CBF,MrSEQL-SM,1,70,0.9989
CBF,MrSEQL-SM,1,80,0.9989
CBF,MrSEQL-SM,1,90,0.9989
CBF,MrSEQL-SM,1,100,0.9989
CBF,MrSEQL-SM,2,0,0.9989
CBF,MrSEQL-SM,2,10,0.9989
CBF,MrSEQL-SM,2,20,0.9989
CBF,MrSEQL-SM,2,30,1.0
CBF,MrSEQL-SM,2,40,1.0
CBF,MrSEQL-SM,2,50,0.9989
CBF,MrSEQL-SM,2,60,0.9989
CBF,MrSEQL-SM,2,70,0.9989
CBF,MrSEQL-SM,2,80,0.9989
CBF,MrSEQL-SM,2,90,1.0
CBF,MrSEQL-SM,2,100,0.9989
CBF,ResNetCAM,1,0,0.9989
CBF,ResNetCAM,1,10,1.0
CBF,ResNetCAM,1,20,1.0
CBF,ResNetCAM,1,30,1.0
CBF,ResNetCAM,1,40,1.0
CBF,ResNetCAM,1,50,0.9989
CBF,ResNetCAM,1,60,0.9989
CBF,ResNetCAM,1,70,0.9989
CBF,ResNetCAM,1,80,0.9989
CBF,ResNetCAM,1,90,0.9989
CBF,ResNetCAM,1,100,0.9989
CBF,ResNetCAM,2,0,0.9989
CBF,ResNetCAM,2,10,0.9989
CBF,ResNetCAM,2,20,0.9989
CBF,ResNetCAM,2,30,0.9989
CBF,ResNetCAM,2,40,0.9989
CBF,ResNetCAM,2,50,0.9989
CBF,ResNetCAM,2,60,0.9989
CBF,ResNetCAM,2,70,0.9989
CBF,ResNetCAM,2,80,0.9978
CBF,ResNetCAM,2,90,0.9989
CBF,ResNetCAM,2,100,0.9989
CMJ,MrSEQL-SM,1,0,0.9609
CMJ,MrSEQL-SM,1,10,0.9665
CMJ,MrSEQL-SM,1,20,0.9553
CMJ,MrSEQL-SM,1,30,0.9553
CMJ,MrSEQL-SM,1,40,0.933
CMJ,MrSEQL-SM,1,50,0.9385
CMJ,MrSEQL-SM,1,60,0.9385
CMJ,MrSEQL-SM,1,70,0.933
CMJ,MrSEQL-SM,1,80,0.9385
CMJ,MrSEQL-SM,1,90,0.933
CMJ,MrSEQL-SM,1,100,0.9385
CMJ,MrSEQL-SM,2,0,0.9609
CMJ,MrSEQL-SM,2,10,0.9553
CMJ,MrSEQL-SM,2,20,0.9497
CMJ,MrSEQL-SM,2,30,0.9497
CMJ,MrSEQL-SM,2,40,0.9441
CMJ,MrSEQL-SM,2,50,0.9497
CMJ,MrSEQL-SM,2,60,0.9609
CMJ,MrSEQL-SM,2,70,0.9497
CMJ,MrSEQL-SM,2,80,0.9441
CMJ,MrSEQL-SM,2,90,0.933
CMJ,MrSEQL-SM,2,100,0.9385
CMJ,ResNetCAM,1,0,0.9609
CMJ,ResNetCAM,1,10,0.9609
CMJ,ResNetCAM,1,20,0.9609
CMJ,ResNetCAM,1,30,0.9553
CMJ,ResNetCAM,1,40,0.9441
CMJ,ResNetCAM,1,50,0.9441
CMJ,ResNetCAM,1,60,0.9385
CMJ,ResNetCAM,1,70,0.9385
CMJ,ResNetCAM,1,80,0.9274
CMJ,ResNetCAM,1,90,0.933
CMJ,ResNetCAM,1,100,0.9385
CMJ,ResNetCAM,2,0,0.9609
CMJ,ResNetCAM,2,10,0.9553
CMJ,ResNetCAM,2,20,0.9553
CMJ,ResNetCAM,2,30,0.9553
CMJ,ResNetCAM,2,40,0.9441
CMJ,ResNetCAM,2,50,0.9441
CMJ,ResNetCAM,2,60,0.9274
CMJ,ResNetCAM,2,70,0.9385
CMJ,ResNetCAM,2,80,0.9385
CMJ,ResNetCAM,2,90,0.9385
CMJ,ResNetCAM,2,100,0.9385
CMJ,MrSEQL-LIME,1,0,0.9609
CMJ,MrSEQL-LIME,1,10,0.9553
CMJ,MrSEQL-LIME,1,20,0.9553
CMJ,MrSEQL-LIME,1,30,0.9497
CMJ,MrSEQL-LIME,1,40,0.9553
CMJ,MrSEQL-LIME,1,50,0.933
CMJ,MrSEQL-LIME,1,60,0.933
CMJ,MrSEQL-LIME,1,70,0.9385
CMJ,MrSEQL-LIME,1,80,0.933
CMJ,MrSEQL-LIME,1,90,0.9385
CMJ,MrSEQL-LIME,1,100,0.9385
CMJ,MrSEQL-LIME,2,0,0.9609
CMJ,MrSEQL-LIME,2,10,0.9609
CMJ,MrSEQL-LIME,2,20,0.9609
CMJ,MrSEQL-LIME,2,30,0.9553
CMJ,MrSEQL-LIME,2,40,0.9553
CMJ,MrSEQL-LIME,2,50,0.9553
CMJ,MrSEQL-LIME,2,60,0.9553
CMJ,MrSEQL-LIME,2,70,0.9441
CMJ,MrSEQL-LIME,2,80,0.9441
CMJ,MrSEQL-LIME,2,90,0.9441
CMJ,MrSEQL-LIME,2,100,0.9385
Coffee,MrSEQL-SM,1,0,1.0
Coffee,MrSEQL-SM,1,10,1.0
Coffee,MrSEQL-SM,1,20,1.0
Coffee,MrSEQL-SM,1,30,0.9286
Coffee,MrSEQL-SM,1,40,0.9286
Coffee,MrSEQL-SM,1,50,0.9286
Coffee,MrSEQL-SM,1,60,0.9643
Coffee,MrSEQL-SM,1,70,0.9643
Coffee,MrSEQL-SM,1,80,0.9643
Coffee,MrSEQL-SM,1,90,0.9643
Coffee,MrSEQL-SM,1,100,0.9643
Coffee,MrSEQL-SM,2,0,1.0
Coffee,MrSEQL-SM,2,10,1.0
Coffee,MrSEQL-SM,2,20,1.0
Coffee,MrSEQL-SM,2,30,1.0
Coffee,MrSEQL-SM,2,40,1.0
Coffee,MrSEQL-SM,2,50,1.0
Coffee,MrSEQL-SM,2,60,1.0
Coffee,MrSEQL-SM,2,70,1.0
Coffee,MrSEQL-SM,2,80,0.9643
Coffee,MrSEQL-SM,2,90,0.9643
Coffee,MrSEQL-SM,2,100,0.9643
Coffee,ResNetCAM,1,0,1.0
Coffee,ResNetCAM,1,10,1.0
Coffee,ResNetCAM,1,20,0.9643
Coffee,ResNetCAM,1,30,1.0
Coffee,ResNetCAM,1,40,0.9643
Coffee,ResNetCAM,1,50,0.9643
Coffee,ResNetCAM,1,60,0.9643
Coffee,ResNetCAM,1,70,0.9643
Coffee,ResNetCAM,1,80,0.9643
Coffee,ResNetCAM,1,90,0.9286
Coffee,ResNetCAM,1,100,0.9643
Coffee,ResNetCAM,2,0,1.0
Coffee,ResNetCAM,2,10,1.0
Coffee,ResNetCAM,2,20,1.0
Coffee,ResNetCAM,2,30,1.0
Coffee,ResNetCAM,2,40,1.0
Coffee,ResNetCAM,2,50,1.0
Coffee,ResNetCAM,2,60,0.9643
Coffee,ResNetCAM,2,70,0.9643
Coffee,ResNetCAM,2,80,1.0
Coffee,ResNetCAM,2,90,0.9643
Coffee,ResNetCAM,2,100,0.9643
ECG200,MrSEQL-SM,1,0,0.85
ECG200,MrSEQL-SM,1,10,0.84
ECG200,MrSEQL-SM,1,20,0.83
ECG200,MrSEQL-SM,1,30,0.84
ECG200,MrSEQL-SM,1,40,0.8
ECG200,MrSEQL-SM,1,50,0.79
ECG200,MrSEQL-SM,1,60,0.78
ECG200,MrSEQL-SM,1,70,0.79
ECG200,MrSEQL-SM,1,80,0.81
ECG200,MrSEQL-SM,1,90,0.8
ECG200,MrSEQL-SM,1,100,0.81
ECG200,MrSEQL-SM,2,0,0.85
ECG200,MrSEQL-SM,2,10,0.84
ECG200,MrSEQL-SM,2,20,0.87
ECG200,MrSEQL-SM,2,30,0.85
ECG200,MrSEQL-SM,2,40,0.85
ECG200,MrSEQL-SM,2,50,0.85
ECG200,MrSEQL-SM,2,60,0.84
ECG200,MrSEQL-SM,2,70,0.83
ECG200,MrSEQL-SM,2,80,0.83
ECG200,MrSEQL-SM,2,90,0.85
ECG200,MrSEQL-SM,2,100,0.81
ECG200,ResNetCAM,1,0,0.85
ECG200,ResNetCAM,1,10,0.85
ECG200,ResNetCAM,1,20,0.87
ECG200,ResNetCAM,1,30,0.85
ECG200,ResNetCAM,1,40,0.84
ECG200,ResNetCAM,1,50,0.85
ECG200,ResNetCAM,1,60,0.84
ECG200,ResNetCAM,1,70,0.83
ECG200,ResNetCAM,1,80,0.82
ECG200,ResNetCAM,1,90,0.8
ECG200,ResNetCAM,1,100,0.81
ECG200,ResNetCAM,2,0,0.85
ECG200,ResNetCAM,2,10,0.84
ECG200,ResNetCAM,2,20,0.82
ECG200,ResNetCAM,2,30,0.83
ECG200,ResNetCAM,2,40,0.83
ECG200,ResNetCAM,2,50,0.83
ECG200,ResNetCAM,2,60,0.85
ECG200,ResNetCAM,2,70,0.83
ECG200,ResNetCAM,2,80,0.8
ECG200,ResNetCAM,2,90,0.81
ECG200,ResNetCAM,2,100,0.81
GunPoint,MrSEQL-SM,1,0,0.9867
GunPoint,MrSEQL-SM,1,10,0.98
GunPoint,MrSEQL-SM,1,20,0.98
GunPoint,MrSEQL-SM,1,30,0.9667
GunPoint,MrSEQL-SM,1,40,0.9467
GunPoint,MrSEQL-SM,1,50,0.9267
GunPoint,MrSEQL-SM,1,60,0.9333
GunPoint,MrSEQL-SM,1,70,0.94
GunPoint,MrSEQL-SM,1,80,0.9333
GunPoint,MrSEQL-SM,1,90,0.92
GunPoint,MrSEQL-SM,1,100,0.9133
GunPoint,MrSEQL-SM,2,0,0.9867
GunPoint,MrSEQL-SM,2,10,0.98
GunPoint,MrSEQL-SM,2,20,0.98
GunPoint,MrSEQL-SM,2,30,0.98
GunPoint,MrSEQL-SM,2,40,0.9867
GunPoint,MrSEQL-SM,2,50,0.9867
GunPoint,MrSEQL-SM,2,60,0.98
GunPoint,MrSEQL-SM,2,70,0.98
GunPoint,MrSEQL-SM,2,80,0.9733
GunPoint,MrSEQL-SM,2,90,0.94
GunPoint,MrSEQL-SM,2,100,0.9133
GunPoint,ResNetCAM,1,0,0.9867
GunPoint,ResNetCAM,1,10,0.9933
GunPoint,ResNetCAM,1,20,0.9867
GunPoint,ResNetCAM,1,30,0.98
GunPoint,ResNetCAM,1,40,0.98
GunPoint,ResNetCAM,1,50,0.9667
GunPoint,ResNetCAM,1,60,0.9467
GunPoint,ResNetCAM,1,70,0.9333
GunPoint,ResNetCAM,1,80,0.94
GunPoint,ResNetCAM,1,90,0.9333
GunPoint,ResNetCAM,1,100,0.9133
GunPoint,ResNetCAM,2,0,0.9867
GunPoint,ResNetCAM,2,10,0.9867
GunPoint,ResNetCAM,2,20,0.9867
GunPoint,ResNetCAM,2,30,0.9867
GunPoint,ResNetCAM,2,40,0.98
GunPoint,ResNetCAM,2,50,0.9667
GunPoint,ResNetCAM,2,60,0.9733
GunPoint,ResNetCAM,2,70,0.96
GunPoint,ResNetCAM,2,80,0.94
GunPoint,ResNetCAM,2,90,0.9467
GunPoint,ResNetCAM,2,100,0.9133
GunPoint,MrSEQL-LIME,1,0,0.9867
GunPoint,MrSEQL-LIME,1,10,0.9867
GunPoint,MrSEQL-LIME,1,20,0.9867
GunPoint,MrSEQL-LIME,1,30,0.9933
GunPoint,MrSEQL-LIME,1,40,0.9867
GunPoint,MrSEQL-LIME,1,50,0.98
GunPoint,MrSEQL-LIME,1,60,0.96
GunPoint,MrSEQL-LIME,1,70,0.9533
GunPoint,MrSEQL-LIME,1,80,0.94
GunPoint,MrSEQL-LIME,1,90,0.94
GunPoint,MrSEQL-LIME,1,100,0.9133
GunPoint,MrSEQL-LIME,2,0,0.9867
GunPoint,MrSEQL-LIME,2,10,0.98
GunPoint,MrSEQL-LIME,2,20,0.98
GunPoint,MrSEQL-LIME,2,30,0.9733
GunPoint,MrSEQL-LIME,2,40,0.98
GunPoint,MrSEQL-LIME,2,50,0.98
GunPoint,MrSEQL-LIME,2,60,0.9733
GunPoint,MrSEQL-LIME,2,70,0.9733
GunPoint,MrSEQL-LIME,2,80,0.9667
GunPoint,MrSEQL-LIME,2,90,0.94
GunPoint,MrSEQL-LIME,2,100,0.9133
